"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BZ1","Buzzer","~","Buzzer_Beeper:Buzzer_12x9.5RM7.6","1",""
"C1,C3,C14","0.1u","~","Capacitor_SMD:C_0805_2012Metric","3",""
"C2,C5,C6,C7,C8,C10,C13,C15,C16,C17,C20","10u","~","-- mixed values --","11",""
"C4,C9","6p","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C12","C_Small","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C18,C19,C21","22u","~","Resistor_SMD:R_0805_2012Metric","3",""
"D1","1N5819WS","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf","Diode_SMD:D_0805_2012Metric","1",""
"D2","LED_PWR","~","LED_SMD:LED_0805_2012Metric","1",""
"D3,D6,D8,D10,D11","1N4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_SMD:D_0805_2012Metric","5",""
"D4","FAULT_LED","~","LED_SMD:LED_0805_2012Metric","1",""
"D5","BUSY_LED","~","Diode_SMD:D_0805_2012Metric","1",""
"D7","CONNECTIVITY_LED","~","LED_SMD:LED_0805_2012Metric","1",""
"D9,D13,D14,J2","LED","~","-- mixed values --","4",""
"F1","CAR_FUSE 2A","~","Fuse:Fuse_1206_3216Metric","1",""
"J1","FTDI","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"J3,J4,J6","C8465","~","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","3",""
"J5","PJ-002AH","","PJ-002AH:CUI_PJ-002AH","1",""
"J8","Fan_Exhaust","~","Connector_JST:JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal","1",""
"J9","Fan_Continous","~","Connector_JST:JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal","1",""
"J10","mist","~","Connector_JST:JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal","1",""
"J12","Water_Level","~","Connector_JST:JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal","1",""
"J14","Battery","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","1",""
"J15","Display","~","Connector_JST:JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical","1",""
"J16","Rotary encoder","~","Connector_JST:JST_GH_BM05B-GHS-TBT_1x05-1MP_P1.25mm_Vertical","1",""
"J17","Temp","~","Connector_JST:JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal","1",""
"J18","Temp2","~","Connector_JST:JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal","1",""
"J19","Water_Pump","~","Connector_JST:JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal","1",""
"JP2","BUCK_BOOST_JUMP","~","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","1",""
"K1,U9","G5NB-1A-E DC12","-- mixed values --","G5NB-1A-E_DC12:RELAY_G5NB-1A_DC5_OMR","2",""
"L1","1.5u","~","Inductor_SMD:L_0805_2012Metric","1",""
"Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10","AO3406","https://ngspice.sourceforge.io/docs/ngspice-manual.pdf","Package_TO_SOT_SMD:SOT-23","8",""
"Q7","SI2301","http://www.vishay.com/docs/66709/si2319cd.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"R1,R17,R20,R21,R22,R23,R24,R26,R29","10k","~","Resistor_SMD:R_0805_2012Metric","9",""
"R5,R6","330","~","Resistor_SMD:R_0805_2012Metric","2",""
"R8,R9","1k","~","Resistor_SMD:R_0805_2012Metric","2",""
"R10,R13,R35,R38,R39,R41","10K","~","Resistor_SMD:R_0805_2012Metric","6",""
"R11,R12,R14,R15,R36,R37,R40","1K","~","Resistor_SMD:R_0805_2012Metric","7",""
"R16","1.3k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R25","68.1k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R30","213k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R31,R32","1.5k","~","Resistor_SMD:R_0805_2012Metric","2",""
"SW1,SW2","SW_Omron_B3FS","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","Button_Switch_SMD:SW_SPST_Omron_B3FS-100xP","2",""
"U1","TPS63070RNMR","","TPS63070RNMR:VREG_TPS63070RNMR","1",""
"U2","ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","RF_Module:ESP32-WROOM-32","1",""
"U3","AMS1117-5.0","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U5","PCF8574","http://www.nxp.com/docs/en/data-sheet/PCF8574_PCF8574A.pdf","PCF8574T_3_518:SOIC127P1032X265-16N","1",""
"U6","MAX17048G_T10","","MAX17048G_T10:SON50P200X200X80-9N","1",""
"U7","TP4056","","TP4056:SOP127P600X175-9N","1",""
"U8","DS1307+","https://datasheets.maximintegrated.com/en/ds/DS1307.pdf","DS1307ZTR:21-0041B_8","1",""
"Y1","32.768kHz Quartz Crystal","~","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","1",""
