Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C14, C3",0805,3,0.1u,
"C10, C12, C13, C15, C16, C17, C2, C20, C5, C6, C7, C8",0805,12,10u,
"C18, C19, C21",0805,3,22u,
"C4, C9",0805,2,6p,
D1,D_SOD-323F,1,1N5819WS,
"D10, D11, D3, D6, D8",D_SOD-123F,5,1N4001,
"D13, D14, D9",0805,3,LED,
D2,0805,1,LED_PWR,
D4,0805,1,FAULT_LED,
D5,0805,1,BUSY_LED,
D7,0805,1,CONNECTIVITY_LED,
J1,PinHeader_1x06_P2.54mm_Vertical,1,FTDI,
J10,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,mist,
J12,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,Water_Level,
J14,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Battery,
J15,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,Display,
J16,JST_GH_BM05B-GHS-TBT_1x05-1MP_P1.25mm_Vertical,1,Rotary encoder,
J17,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,Temp,
J18,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,Temp2,
J19,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Water_Pump,
J2,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,LED,
"J3, J4, J6",TerminalBlock_Altech_AK300-2_P5.00mm,3,C8465,
J5_2,CUI_PJ-002AH,1,PJ-002AH,
"J5, J7",TerminalBlock_Altech_AK300-2_P5.00mm,2,Screw_Terminal_01x02,
J8,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Fan_Exhaust,
J9,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Fan_Continous,
JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,BUCK_BOOST_JUMP,
"K1, U9",RELAY_G5NB-1A_DC5_OMR,2,G5NB-1A-E DC12,
L1,L_Murata_LQH2MCNxxxx02_2.0x1.6mm,1,1.5u,
"Q10, Q2, Q3, Q4, Q5, Q6, Q8, Q9",SOT-23,8,AO3406,
Q7,SOT-23,1,SI2301,
"R1, R10, R13, R17, R19, R20, R21, R22, R23, R24, R26, R29, R35, R38, R39, R41",0805,16,10k,
"R11, R12, R14, R15, R31, R32, R37",0805,7,100,
R16,0805,1,1.3k,
R2,0805,1,3k,
R25,0805,1,68.1k,
R30,0805,1,210k,
R36,D_SOD-123F,1,1K,
"R40, R8, R9",0805,3,1K,
"R5, R6",0805,2,330,
"SW1, SW2",SW_SPST_Omron_B3FS-100xP,2,SW_Omron_B3FS,
U1,VREG_TPS63070RNMR,1,TPS63070RNMR,
U2,ESP32-WROOM-32,1,ESP32-WROOM-32,
U3,SOT-223-3_TabPin2,1,AMS1117-5.0,
U5,SOIC127P1032X265-16N,1,PCF8574,
U6,SON50P200X200X80-9N,1,MAX17048G_T10,
U7,SOP127P600X175-9N,1,TP4056,
U8,21-0041B_8,1,DS1307+,
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,1,32.768kHz Quartz Crystal,
